ISO,Country,Year,Age,Sex,Total Tobacco Consumption,Total Tobacco Consumption Lower Bound,Total Tobacco Consumption Upper Bound
AFG,Afghanistan,1980,All-ages,Both,"1,531.10","1,313.20","1,774.10"
AFG,Afghanistan,1981,All-ages,Both,"1,513.30","1,313.30","1,730.90"
AFG,Afghanistan,1982,All-ages,Both,"1,491.40","1,308.00","1,691.00"
AFG,Afghanistan,1983,All-ages,Both,"1,464.50","1,291.80","1,646.60"
AFG,Afghanistan,1984,All-ages,Both,"1,432.80","1,274.90","1,602.70"
AFG,Afghanistan,1985,All-ages,Both,"1,403.10","1,259.90","1,563.50"
AFG,Afghanistan,1986,All-ages,Both,"1,383.60","1,251.90","1,533.70"
AFG,Afghanistan,1987,All-ages,Both,"1,356.30","1,230.50","1,499.10"
AFG,Afghanistan,1988,All-ages,Both,"1,337.30","1,213.30","1,475.50"
AFG,Afghanistan,1989,All-ages,Both,"1,341.50","1,215.70","1,481.80"
AFG,Afghanistan,1990,All-ages,Both,"1,378.50","1,244.20","1,523.40"
AFG,Afghanistan,1991,All-ages,Both,"1,445.80","1,299.90","1,600.80"
AFG,Afghanistan,1992,All-ages,Both,"1,539.00","1,375.30","1,717.10"
AFG,Afghanistan,1993,All-ages,Both,"1,610.60","1,429.10","1,811.90"
AFG,Afghanistan,1994,All-ages,Both,"1,643.90","1,439.00","1,872.60"
AFG,Afghanistan,1995,All-ages,Both,"1,682.60","1,450.20","1,941.00"
AFG,Afghanistan,1996,All-ages,Both,"1,690.10","1,433.00","1,972.70"
AFG,Afghanistan,1997,All-ages,Both,"1,678.50","1,401.10","1,979.90"
AFG,Afghanistan,1998,All-ages,Both,"1,659.80","1,363.70","1,981.00"
AFG,Afghanistan,1999,All-ages,Both,"1,648.20","1,332.70","1,997.70"
AFG,Afghanistan,2000,All-ages,Both,"1,652.60","1,323.20","2,028.60"
AFG,Afghanistan,2001,All-ages,Both,"1,673.30","1,319.50","2,076.20"
AFG,Afghanistan,2002,All-ages,Both,"1,772.30","1,382.90","2,216.20"
AFG,Afghanistan,2003,All-ages,Both,"1,903.60","1,483.80","2,388.50"
AFG,Afghanistan,2004,All-ages,Both,"2,033.10","1,576.90","2,574.50"
AFG,Afghanistan,2005,All-ages,Both,"2,176.50","1,673.50","2,766.50"
AFG,Afghanistan,2006,All-ages,Both,"2,321.70","1,771.40","2,988.10"
AFG,Afghanistan,2007,All-ages,Both,"2,491.70","1,890.10","3,243.40"
AFG,Afghanistan,2008,All-ages,Both,"2,657.30","2,002.70","3,481.90"
AFG,Afghanistan,2009,All-ages,Both,"2,868.50","2,148.70","3,771.20"
AFG,Afghanistan,2010,All-ages,Both,"3,091.90","2,299.30","4,099.90"
AFG,Afghanistan,2011,All-ages,Both,"3,320.90","2,459.40","4,424.00"
AFG,Afghanistan,2012,All-ages,Both,"3,550.80","2,608.20","4,768.30"
AGO,Angola,1980,All-ages,Both,"2,944.40","2,532.00","3,374.80"
AGO,Angola,1981,All-ages,Both,"3,083.90","2,698.50","3,490.10"
AGO,Angola,1982,All-ages,Both,"3,236.00","2,857.40","3,616.20"
AGO,Angola,1983,All-ages,Both,"3,388.60","3,029.10","3,759.20"
AGO,Angola,1984,All-ages,Both,"3,528.90","3,183.70","3,889.90"
AGO,Angola,1985,All-ages,Both,"3,653.60","3,313.00","4,004.00"
AGO,Angola,1986,All-ages,Both,"3,768.20","3,440.50","4,118.10"
AGO,Angola,1987,All-ages,Both,"3,858.50","3,526.00","4,206.50"
AGO,Angola,1988,All-ages,Both,"3,932.40","3,600.60","4,272.40"
AGO,Angola,1989,All-ages,Both,"4,010.60","3,673.80","4,346.30"
AGO,Angola,1990,All-ages,Both,"4,099.90","3,748.80","4,431.40"
AGO,Angola,1991,All-ages,Both,"4,204.10","3,846.00","4,550.60"
AGO,Angola,1992,All-ages,Both,"4,323.90","3,961.40","4,691.40"
