Species,Owner,Country,Company,Altitude,Region,Producer,Partner,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
Arabica,"exportadora atlantic, s.a.",Nicaragua,exportadora atlantic s.a,1100,jalapa,TeÃ³filo NarvÃ¡ez,Instituto HondureÃ±o del CafÃ©,7.25,6.58,6.33,6.25,6.42,6.08,m,1100,1100,1100
Arabica,cadexsa,Honduras,cadexsa,1450 msnm,marcala,Omar Acosta,Instituto HondureÃ±o del CafÃ©,6.67,6.5,6.17,6.67,6.83,6.17,m,1450,1450,1450
Arabica,cadexsa,Honduras,cadexsa,1450 msnm,marcala,Omar Acosta,Instituto HondureÃ±o del CafÃ©,7,6.17,6.17,6.67,6.5,6.17,m,1450,1450,1450
Arabica,cadexsa,Honduras,cadexsa,1450 msnm,marcala,Omar Acosta,Instituto HondureÃ±o del CafÃ©,7,6.33,6.17,6.5,6.67,6.17,m,1450,1450,1450
Arabica,william ho,Indonesia,,3500,indonesia,1,Specialty Coffee Association,7.33,7,6.5,6.08,7.58,6.33,m,3500,3500,3500
Arabica,bourbon specialty coffees,Brazil,bourbon specialty coffees,,campos altos - cerrado,,Brazil Specialty Coffee Association,7.25,6.58,6.58,7,7,6.42,m,NA,NA,NA
Arabica,santa laura exportadora de cafe s.l.e.c. s.a.,Costa Rica,santa laura exportadora de cafe s.l.e.c. s.a.,1200 msm,occidental,Beneficio la Eva S.A.,Specialty Coffee Association of Costa Rica,6.33,6.5,6.33,6.83,6.33,6.5,m,1200,1200,1200
Arabica,ricardo aaron sampieri marini,Mexico,,1800,veracruz,RICARDO AARON SAMPIERI MARINI,AMECAFE,6.5,6.67,6.42,7.17,7.33,6.5,m,1800,1800,1800
Arabica,fredy gordillo reyes,Mexico,union ramal santa cruz spr de ri,1400,"la concordia, chiapas",UNION RAMAL SANTA CRUZ,AMECAFE,7.42,7.25,6.83,7.58,7.17,6.58,m,1400,1400,1400
Arabica,homero antonio de anda andrade,Mexico,exportadora moretto s.a. de c.v.,1100,coatepec,CASTULO GUTIERREZ,AMECAFE,7.17,6.58,6.58,7,7.25,6.58,m,1100,1100,1100
Arabica,martin jimenez casiano,Mexico,union regional de cafeticultores de la mazateca alta,1280,huautla de jimenez,"MARTÃN JIMENEZ CASIANO, PAULINA CERQUEDA ALVAREZ, JULIO MARTINEZ TERAN",AMECAFE,7.17,7.17,6.83,7.17,7.42,6.67,m,1280,1280,1280
Arabica,myriam kaplan-pasternak,Haiti,,640m-1400m,marmelade,Asosyasyon PlantÃ¨ Kafe KrÃ¨tapen (APCAP) ;Asosyasyon plantÃ¨ Kafe Basen (APKBA);Asosyasyon PlantÃ¨ Kafe,Specialty Coffee Association,6.92,6.75,7.08,7.17,7.33,6.67,m,640,1400,1020
Arabica,myriam kaplan-pasternak,Haiti,haiti coffee,~350m,"department d'artibonite , haiti",COEB Koperativ Ekselsyo Basen,Specialty Coffee Association,6.75,6.58,6.42,6.67,7.08,6.67,m,350,350,350
Arabica,juan luis alvarado romero,Guatemala,unicafe,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,Asociacion Nacional Del CafÃ©,7.5,6.67,6.67,7.67,7.33,6.67,ft,1417.32,1417.32,1417.32
Arabica,israel eduardo paz garcia,Mexico,cafeorganico.mx,1400,zaragoza itundujia,LUISA ZUÃ‘IGA GARCÃA,AMECAFE,7.5,7,6.92,7.08,6.92,6.75,m,1400,1400,1400
Arabica,stephany escamilla femat,Mexico,,1300,coatepec,RUBRIA OCHOA BELLO,AMECAFE,7.17,6.75,6.58,6.75,6.83,6.75,m,1300,1300,1300
Arabica,juan luis alvarado romero,Guatemala,"unex guatemala, s.a.",,oriente,Conquista / Morito,Asociacion Nacional Del CafÃ©,6.67,6.5,6.33,7,7.17,6.75,m,NA,NA,NA
